                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4553,                 1.9948,                 1.4837,                0.50074,                0.44627,                0.41826,                0.21102,                 1.7189,                  2.639,                 1.6677,             0.00030185,             0.00030185,             0.00030185
                      2,                 1.5673,                 1.8929,                 1.5847,                0.38499,                0.44773,                  0.348,                0.18255,                 1.7631,                 2.7487,                 1.7288,             0.00059886,             0.00059886,             0.00059886
                      3,                   1.54,                 1.8181,                 1.5729,                0.52828,                0.39234,                0.41727,                0.22375,                  1.668,                 2.1842,                  1.602,             0.00088988,             0.00088988,             0.00088988
                      4,                  1.452,                 1.6367,                 1.5034,                0.54153,                0.55135,                0.53225,                0.30517,                 1.4885,                 1.5874,                 1.4856,               0.000882,               0.000882,               0.000882
                      5,                 1.3617,                 1.5044,                 1.4533,                0.55191,                 0.5776,                0.55027,                0.32405,                 1.5096,                 1.5816,                 1.5157,               0.000882,               0.000882,               0.000882
                      6,                 1.3134,                 1.4315,                 1.4169,                0.51371,                0.51038,                0.52058,                0.29858,                 1.4963,                 1.7933,                 1.5036,               0.000873,               0.000873,               0.000873
                      7,                 1.2468,                 1.3255,                 1.3766,                0.67156,                0.58616,                0.62352,                0.36318,                 1.3917,                 1.4216,                 1.4398,               0.000864,               0.000864,               0.000864
                      8,                 1.2235,                 1.2667,                  1.355,                0.67379,                 0.6075,                0.63316,                 0.3778,                 1.3978,                 1.3631,                 1.4437,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.1899,                 1.2043,                 1.3372,                0.64738,                0.60464,                0.63648,                0.38116,                 1.3827,                 1.3237,                 1.4162,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1598,                 1.1521,                 1.3124,                0.63591,                0.62873,                0.65164,                0.39966,                 1.3592,                 1.2939,                 1.4235,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.1268,                 1.1136,                  1.291,                0.72424,                0.61062,                0.66669,                0.40621,                 1.3551,                 1.3172,                 1.4165,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.0972,                  1.077,                 1.2705,                0.73631,                0.59608,                  0.642,                0.39854,                  1.348,                 1.2419,                 1.3945,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.0728,                 1.0345,                 1.2609,                0.70096,                0.63098,                0.66594,                0.41774,                 1.3015,                 1.2269,                 1.3864,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.0574,                0.99845,                 1.2474,                0.77624,                0.61589,                0.70074,                0.43799,                 1.3335,                 1.2296,                 1.3914,             0.00080101,             0.00080101,             0.00080101
                     15,                  1.037,                0.98212,                 1.2326,                0.74677,                0.62904,                0.67813,                0.43336,                 1.2668,                  1.195,                 1.3657,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0212,                 0.9647,                 1.2192,                 0.7501,                0.62695,                0.68225,                0.43725,                 1.2676,                 1.1915,                 1.3634,             0.00078301,             0.00078301,             0.00078301
