                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4445,                 1.9832,                 1.4532,                0.44832,                0.43159,                0.37951,                 0.2135,                  1.626,                 2.2911,                 1.6321,             0.00030162,             0.00030162,             0.00030162
                      2,                 1.5504,                 1.8462,                 1.5457,                0.51325,                0.38994,                0.39821,                  0.209,                 1.6579,                 2.0356,                 1.6352,             0.00059864,             0.00059864,             0.00059864
                      3,                 1.5337,                 1.7778,                 1.5353,                0.47279,                0.51226,                 0.4567,                0.24989,                 1.5409,                 1.7305,                 1.5725,             0.00088965,             0.00088965,             0.00088965
                      4,                 1.4905,                 1.7119,                 1.5049,                0.61967,                0.56552,                 0.5746,                0.33266,                 1.4005,                 1.4899,                 1.4706,               0.000882,               0.000882,               0.000882
                      5,                 1.4072,                 1.5451,                 1.4455,                0.60983,                0.58234,                0.59191,                0.34678,                 1.3681,                 1.4847,                 1.4384,               0.000882,               0.000882,               0.000882
                      6,                  1.357,                 1.4903,                  1.415,                0.67605,                0.58641,                0.63844,                0.38143,                   1.33,                 1.3558,                 1.3861,               0.000873,               0.000873,               0.000873
                      7,                 1.3048,                  1.395,                 1.3868,                0.65083,                0.63378,                0.64604,                0.39617,                 1.2525,                 1.3066,                 1.3625,               0.000864,               0.000864,               0.000864
                      8,                 1.2612,                 1.3107,                 1.3554,                0.66946,                0.64374,                0.66498,                0.42013,                 1.2412,                 1.1982,                 1.3406,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.2331,                 1.2622,                 1.3334,                0.68715,                0.65741,                0.70131,                 0.4621,                 1.1434,                 1.1111,                  1.289,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.2008,                 1.2137,                 1.3146,                0.71459,                0.67896,                 0.7167,                0.47124,                 1.1777,                 1.1415,                 1.3179,             0.00083701,             0.00083701,             0.00083701
                     11,                  1.167,                 1.1737,                  1.301,                0.72707,                0.67533,                0.74291,                0.49038,                 1.1391,                 1.0921,                 1.2827,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1521,                 1.1346,                 1.2855,                0.76734,                0.69583,                0.76736,                0.50749,                  1.108,                  1.001,                 1.2705,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1297,                 1.1006,                 1.2616,                0.73629,                0.69027,                0.75065,                0.50226,                 1.1169,                 1.0448,                 1.2577,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.1073,                 1.0801,                 1.2529,                0.79445,                0.69571,                0.78262,                0.54024,                 1.0662,                 0.9539,                 1.2266,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.0941,                  1.037,                  1.243,                0.75528,                0.72066,                0.77067,                0.53534,                 1.0527,                0.99221,                 1.2366,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0755,                   1.02,                 1.2314,                0.78188,                0.71768,                0.77375,                0.54369,                 1.0505,                0.94967,                 1.2295,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.0677,                  1.008,                 1.2245,                0.77784,                0.73705,                 0.7901,                0.55556,                 1.0424,                0.91459,                  1.222,             0.00077401,             0.00077401,             0.00077401
                     18,                  1.045,                0.98489,                 1.2138,                0.78503,                0.71835,                0.78215,                0.55696,                 1.0278,                0.90719,                  1.219,             0.00076501,             0.00076501,             0.00076501
                     19,                  1.041,                0.97522,                 1.2074,                0.77499,                0.74982,                0.80524,                0.56925,                 1.0196,                0.88299,                 1.2046,             0.00075602,             0.00075602,             0.00075602
                     20,                 1.0264,                0.95571,                 1.2019,                0.76817,                0.73391,                0.77405,                0.53828,                 1.0499,                0.92668,                 1.2238,             0.00074702,             0.00074702,             0.00074702
                     21,                   1.01,                0.93879,                  1.194,                0.80916,                0.70298,                 0.7993,                0.56433,                 1.0283,                0.88306,                 1.1955,             0.00073802,             0.00073802,             0.00073802
                     22,                 1.0008,                0.92146,                 1.1853,                0.77311,                0.76511,                0.80668,                0.58223,                0.99573,                0.85064,                 1.1827,             0.00072902,             0.00072902,             0.00072902
                     23,                0.98642,                0.90114,                 1.1675,                0.82719,                0.73223,                0.80921,                0.58547,                 1.0029,                0.84211,                 1.1976,             0.00072002,             0.00072002,             0.00072002
                     24,                0.98489,                 0.9044,                 1.1749,                0.81943,                 0.7479,                0.81295,                0.58757,                0.99109,                  0.837,                 1.1844,             0.00071102,             0.00071102,             0.00071102
                     25,                0.97413,                0.88944,                 1.1735,                0.78826,                0.75339,                0.81626,                0.58308,                0.99629,                0.86444,                 1.1962,             0.00070202,             0.00070202,             0.00070202
                     26,                0.95821,                0.85756,                 1.1584,                0.81524,                0.72628,                0.81329,                0.57734,                0.98704,                 0.8496,                 1.1707,             0.00069302,             0.00069302,             0.00069302
                     27,                0.96061,                0.85624,                 1.1564,                0.79089,                0.77722,                0.83688,                0.59943,                0.97612,                0.79604,                 1.1699,             0.00068402,             0.00068402,             0.00068402
                     28,                0.94536,                0.84068,                 1.1463,                0.78336,                0.77535,                0.82627,                0.60177,                0.94943,                0.78934,                 1.1589,             0.00067502,             0.00067502,             0.00067502
                     29,                0.93303,                0.82218,                 1.1408,                0.85082,                0.76286,                 0.8337,                0.60126,                 0.9581,                0.79209,                  1.151,             0.00066602,             0.00066602,             0.00066602
                     30,                0.91714,                0.81327,                 1.1334,                0.82194,                0.75487,                0.82654,                0.60854,                0.95323,                0.78022,                 1.1681,             0.00065703,             0.00065703,             0.00065703
                     31,                0.90996,                0.81022,                 1.1336,                0.80698,                0.78682,                0.83536,                0.61226,                0.93562,                0.78182,                  1.144,             0.00064803,             0.00064803,             0.00064803
                     32,                0.90523,                0.79372,                 1.1274,                0.81862,                0.76603,                0.83429,                0.61268,                 0.9509,                0.76429,                 1.1558,             0.00063903,             0.00063903,             0.00063903
                     33,                 0.8922,                0.77641,                 1.1148,                0.78035,                0.80011,                0.83164,                0.60417,                0.94683,                0.77759,                 1.1593,             0.00063003,             0.00063003,             0.00063003
                     34,                0.89692,                 0.7879,                 1.1172,                0.80874,                0.78462,                0.83773,                 0.6167,                0.95574,                0.78076,                 1.1593,             0.00062103,             0.00062103,             0.00062103
                     35,                0.88111,                0.75088,                 1.1082,                0.80591,                0.79632,                0.83665,                0.61834,                0.94038,                0.74716,                 1.1599,             0.00061203,             0.00061203,             0.00061203
                     36,                0.86777,                0.75265,                 1.1071,                0.82905,                0.75867,                0.83461,                 0.6179,                0.93333,                0.77406,                 1.1584,             0.00060303,             0.00060303,             0.00060303
                     37,                0.86548,                0.74415,                 1.1075,                0.84094,                0.77212,                0.84489,                0.62601,                0.90839,                0.74474,                 1.1414,             0.00059403,             0.00059403,             0.00059403
                     38,                0.84441,                0.72976,                 1.0935,                 0.8252,                0.78441,                0.84253,                0.63071,                0.90988,                0.72866,                 1.1523,             0.00058503,             0.00058503,             0.00058503
                     39,                0.84354,                0.71946,                 1.0872,                0.84089,                 0.7545,                0.83497,                0.61498,                0.93641,                0.77748,                 1.1621,             0.00057603,             0.00057603,             0.00057603
                     40,                0.83833,                0.72156,                 1.0884,                0.82403,                0.76859,                0.83473,                 0.6197,                0.90608,                0.74092,                 1.1375,             0.00056703,             0.00056703,             0.00056703
                     41,                0.83059,                0.71401,                 1.0789,                0.83331,                 0.7964,                0.84609,                0.63386,                 0.9095,                 0.7378,                 1.1408,             0.00055804,             0.00055804,             0.00055804
                     42,                0.82436,                0.70719,                 1.0825,                0.85476,                0.78911,                0.85622,                0.64296,                0.88981,                0.71532,                 1.1263,             0.00054904,             0.00054904,             0.00054904
                     43,                0.81708,                0.68437,                 1.0713,                0.84979,                0.78688,                0.85756,                0.64915,                0.87653,                0.69195,                 1.1216,             0.00054004,             0.00054004,             0.00054004
                     44,                0.81862,                0.69405,                  1.075,                0.82824,                0.79527,                0.84468,                0.63851,                0.88569,                0.73706,                 1.1291,             0.00053104,             0.00053104,             0.00053104
                     45,                0.81195,                0.67871,                 1.0703,                0.84664,                0.80311,                0.85023,                0.64098,                 0.8816,                0.70064,                 1.1171,             0.00052204,             0.00052204,             0.00052204
                     46,                0.81011,                0.67984,                 1.0723,                0.83574,                0.81794,                0.85324,                0.64121,                0.88986,                0.69432,                 1.1308,             0.00051304,             0.00051304,             0.00051304
                     47,                0.79273,                0.65879,                 1.0636,                 0.8378,                0.80857,                0.85214,                0.64727,                 0.8716,                0.69218,                 1.1134,             0.00050404,             0.00050404,             0.00050404
                     48,                0.79397,                0.65373,                 1.0584,                0.82834,                0.79722,                0.84461,                0.64562,                0.87608,                0.70863,                 1.1114,             0.00049504,             0.00049504,             0.00049504
                     49,                0.77993,                0.64289,                 1.0526,                 0.8426,                 0.7959,                0.84834,                0.64535,                0.87743,                0.70221,                 1.1219,             0.00048604,             0.00048604,             0.00048604
                     50,                0.78383,                0.64889,                 1.0562,                 0.8127,                0.82295,                0.85921,                0.64821,                0.87567,                0.68193,                  1.113,             0.00047704,             0.00047704,             0.00047704
                     51,                0.77017,                0.64412,                 1.0572,                0.83279,                0.81676,                0.86327,                 0.6572,                0.85819,                0.69225,                  1.107,             0.00046804,             0.00046804,             0.00046804
                     52,                0.76183,                0.62245,                   1.05,                0.82325,                0.81286,                0.85599,                0.65819,                0.87081,                0.69621,                 1.1233,             0.00045904,             0.00045904,             0.00045904
                     53,                0.75746,                0.62605,                 1.0465,                0.84502,                0.80096,                 0.8509,                 0.6483,                0.87339,                0.69792,                 1.1292,             0.00045005,             0.00045005,             0.00045005
                     54,                0.74459,                0.61439,                  1.043,                0.86064,                0.79758,                 0.8587,                0.65481,                0.87147,                0.69061,                 1.1314,             0.00044105,             0.00044105,             0.00044105
                     55,                 0.7415,                0.60934,                  1.042,                0.86859,                0.79978,                0.85957,                 0.6568,                0.86128,                0.68588,                 1.1229,             0.00043205,             0.00043205,             0.00043205
                     56,                0.74385,                0.60912,                  1.039,                0.84859,                0.81341,                0.85668,                0.65629,                0.86743,                0.67032,                 1.1151,             0.00042305,             0.00042305,             0.00042305
                     57,                0.74336,                0.60165,                 1.0327,                0.86841,                 0.7865,                0.84946,                 0.6535,                0.86618,                0.68659,                 1.1124,             0.00041405,             0.00041405,             0.00041405
                     58,                 0.7366,                0.59391,                 1.0332,                0.86066,                0.80015,                 0.8528,                0.65905,                0.86147,                0.70374,                 1.1262,             0.00040505,             0.00040505,             0.00040505
                     59,                 0.7266,                0.58963,                 1.0283,                0.84803,                 0.8156,                0.85743,                0.66536,                 0.8426,                0.65831,                 1.1086,             0.00039605,             0.00039605,             0.00039605
                     60,                0.72122,                0.58033,                 1.0278,                0.86542,                0.80144,                0.86067,                0.66749,                0.85121,                0.68029,                 1.1152,             0.00038705,             0.00038705,             0.00038705
                     61,                0.71907,                0.57746,                 1.0258,                0.85815,                0.80346,                0.86022,                0.67095,                0.83064,                0.64736,                 1.1116,             0.00037805,             0.00037805,             0.00037805
                     62,                0.70182,                 0.5668,                 1.0194,                0.84121,                0.80273,                0.84999,                0.65965,                0.85072,                 0.6768,                 1.1212,             0.00036905,             0.00036905,             0.00036905
                     63,                 0.7091,                0.56741,                 1.0238,                0.86599,                0.80832,                 0.8582,                0.66355,                0.85651,                0.66234,                 1.1245,             0.00036005,             0.00036005,             0.00036005
                     64,                0.70437,                0.56139,                   1.02,                0.87921,                0.78405,                0.85918,                0.67229,                0.83565,                0.66778,                 1.1077,             0.00035106,             0.00035106,             0.00035106
                     65,                0.69663,                0.56259,                 1.0121,                0.84349,                0.83038,                 0.8606,                  0.671,                0.83576,                0.65345,                 1.1198,             0.00034206,             0.00034206,             0.00034206
                     66,                0.69776,                0.55019,                 1.0128,                0.85963,                0.79923,                0.86523,                0.67645,                0.83666,                0.65994,                 1.1173,             0.00033306,             0.00033306,             0.00033306
                     67,                0.68318,                0.54108,                 1.0078,                0.85461,                 0.8093,                0.86109,                 0.6715,                0.82509,                0.64498,                  1.109,             0.00032406,             0.00032406,             0.00032406
                     68,                0.68912,                0.54425,                 1.0123,                0.85272,                 0.8059,                 0.8592,                0.66423,                0.85981,                0.66529,                  1.147,             0.00031506,             0.00031506,             0.00031506
                     69,                0.66944,                0.53301,                 1.0001,                0.86061,                0.81582,                0.86737,                0.67726,                0.83628,                0.64749,                 1.1279,             0.00030606,             0.00030606,             0.00030606
                     70,                0.67157,                0.52833,                 1.0008,                0.85625,                0.82731,                0.86336,                0.67325,                0.83609,                0.63923,                 1.1181,             0.00029706,             0.00029706,             0.00029706
                     71,                0.66598,                0.52231,                 1.0009,                0.85464,                0.82767,                0.85948,                0.67208,                0.82829,                0.65106,                  1.112,             0.00028806,             0.00028806,             0.00028806
                     72,                 0.6616,                0.51465,                0.99217,                0.85593,                0.82486,                0.85861,                0.67177,                0.84984,                0.63983,                 1.1389,             0.00027906,             0.00027906,             0.00027906
                     73,                0.65319,                0.51432,                0.99643,                0.88096,                0.80841,                0.86394,                0.67453,                   0.83,                0.62695,                 1.1275,             0.00027006,             0.00027006,             0.00027006
                     74,                0.64679,                0.51276,                0.98831,                0.86901,                0.81616,                0.86588,                0.68019,                0.82882,                0.64854,                 1.1232,             0.00026106,             0.00026106,             0.00026106
                     75,                0.63929,                0.49728,                0.98496,                0.88366,                0.81752,                0.86547,                 0.6781,                0.83481,                0.63697,                 1.1304,             0.00025207,             0.00025207,             0.00025207
                     76,                0.63735,                0.49648,                0.98667,                0.87117,                0.82621,                0.86565,                0.68281,                0.81895,                0.62774,                 1.1073,             0.00024307,             0.00024307,             0.00024307
                     77,                  0.634,                0.49524,                0.98542,                0.85759,                0.83017,                0.86438,                0.68493,                0.81736,                0.64032,                 1.1037,             0.00023407,             0.00023407,             0.00023407
                     78,                0.62614,                0.49289,                0.98141,                0.86914,                0.80906,                0.85739,                0.67593,                 0.8207,                0.64101,                 1.1145,             0.00022507,             0.00022507,             0.00022507
                     79,                0.62406,                0.48289,                0.97873,                0.87201,                0.80975,                 0.8579,                0.67661,                0.81913,                0.64551,                 1.1191,             0.00021607,             0.00021607,             0.00021607
                     80,                0.61623,                0.47676,                0.97542,                0.85169,                0.82558,                0.86129,                0.68066,                 0.8247,                 0.6354,                 1.1239,             0.00020707,             0.00020707,             0.00020707
                     81,                0.61048,                0.47248,                0.97119,                0.86145,                0.82679,                0.85953,                0.67961,                0.81701,                0.64079,                  1.118,             0.00019807,             0.00019807,             0.00019807
                     82,                  0.613,                0.47783,                0.97887,                0.86223,                 0.8279,                0.86712,                0.68885,                0.80741,                0.61831,                 1.1152,             0.00018907,             0.00018907,             0.00018907
                     83,                0.60555,                 0.4754,                0.96842,                0.84966,                 0.8369,                0.86084,                0.68203,                0.82373,                0.62192,                 1.1312,             0.00018007,             0.00018007,             0.00018007
                     84,                0.59846,                0.46514,                 0.9699,                0.85544,                0.82958,                0.85934,                0.68303,                0.81463,                0.63652,                 1.1251,             0.00017107,             0.00017107,             0.00017107
                     85,                0.59927,                0.46493,                0.96844,                0.87099,                0.81207,                0.86007,                0.68491,                0.81476,                 0.6296,                   1.12,             0.00016207,             0.00016207,             0.00016207
                     86,                0.58812,                0.45399,                0.95978,                0.86342,                0.82944,                0.86313,                0.68984,                0.80383,                0.61926,                 1.1185,             0.00015308,             0.00015308,             0.00015308
                     87,                0.58371,                0.45034,                0.96275,                 0.8785,                0.81456,                0.86064,                 0.6852,                0.80648,                0.63137,                 1.1163,             0.00014408,             0.00014408,             0.00014408
                     88,                0.58612,                0.45535,                0.96689,                 0.8683,                0.82027,                0.86229,                0.68455,                0.79931,                0.62865,                 1.1143,             0.00013508,             0.00013508,             0.00013508
                     89,                0.57542,                0.44373,                0.95992,                 0.8612,                0.81436,                0.86424,                0.69067,                0.80256,                0.63783,                 1.1185,             0.00012608,             0.00012608,             0.00012608
                     90,                0.57668,                0.44212,                0.95855,                0.87475,                0.81784,                0.86201,                 0.6877,                 0.8086,                0.64106,                 1.1256,             0.00011708,             0.00011708,             0.00011708
                     91,                 0.5132,                 0.3365,                0.91359,                0.86199,                0.82341,                0.86139,                0.68733,                 0.8075,                 0.6419,                 1.1248,             0.00010808,             0.00010808,             0.00010808
                     92,                0.50613,                0.33186,                0.91101,                0.84654,                0.83457,                0.86472,                0.69158,                0.80524,                0.63329,                 1.1239,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.49812,                0.32498,                0.90813,                0.85698,                0.82131,                0.86326,                0.69061,                 0.8048,                0.64108,                 1.1228,             9.0082e-05,             9.0082e-05,             9.0082e-05
