                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4457,                 1.9478,                 1.4574,                0.38929,                0.41213,                0.33257,                0.18483,                 1.6027,                 2.5177,                 1.6757,             0.00030181,             0.00030181,             0.00030181
                      2,                 1.5758,                 1.8581,                 1.5603,                0.52217,                0.47327,                0.45565,                0.25632,                 1.5035,                 2.2445,                 1.5288,             0.00059882,             0.00059882,             0.00059882
                      3,                 1.5335,                 1.7917,                  1.536,                0.47299,                0.51036,                0.46544,                0.26213,                 1.4871,                 2.4723,                 1.5135,             0.00088984,             0.00088984,             0.00088984
                      4,                 1.4614,                 1.6621,                 1.4875,                0.54472,                0.54559,                0.54634,                0.32407,                 1.3738,                 1.5102,                 1.4327,               0.000882,               0.000882,               0.000882
                      5,                  1.385,                 1.5606,                 1.4455,                0.65855,                 0.5824,                0.63595,                0.38204,                 1.2789,                 1.2827,                  1.375,               0.000882,               0.000882,               0.000882
                      6,                 1.3357,                 1.4709,                 1.4046,                0.64621,                0.63933,                0.66073,                 0.4168,                 1.2364,                 1.2807,                  1.346,               0.000873,               0.000873,               0.000873
                      7,                 1.2817,                 1.3496,                 1.3608,                0.67816,                0.65023,                0.69423,                0.44136,                 1.2116,                 1.1828,                 1.3428,               0.000864,               0.000864,               0.000864
                      8,                 1.2453,                 1.3129,                 1.3441,                0.68897,                0.65657,                0.69832,                0.45435,                  1.175,                  1.139,                 1.3044,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.2061,                 1.2578,                 1.3286,                0.72377,                0.63792,                 0.7021,                 0.4633,                  1.155,                 1.1715,                 1.2982,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1866,                 1.2027,                 1.2996,                0.71472,                0.69968,                0.74348,                0.48693,                 1.1523,                 1.0874,                  1.285,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.1758,                 1.1826,                 1.2921,                0.78633,                0.65964,                0.74788,                0.49061,                  1.157,                 1.0196,                 1.2723,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1436,                 1.1492,                 1.2753,                0.75959,                0.66548,                0.75025,                0.50593,                 1.1117,                 1.0371,                 1.2586,             0.00081901,             0.00081901,             0.00081901
                     13,                  1.126,                 1.1144,                 1.2622,                0.79493,                0.69779,                0.76519,                0.52985,                 1.0742,                0.99542,                 1.2286,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.0999,                 1.0632,                 1.2473,                 0.7852,                 0.6959,                0.77897,                0.53844,                 1.0664,                0.92676,                 1.2143,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.0856,                 1.0622,                 1.2426,                0.75521,                0.71529,                0.77682,                0.53803,                 1.0455,                0.94665,                 1.2072,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0707,                 1.0239,                 1.2351,                 0.7756,                0.71437,                0.78645,                0.55789,                  1.031,                0.93148,                 1.2136,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.0437,                0.99294,                 1.2151,                0.79409,                0.71943,                0.78394,                 0.5455,                 1.0504,                0.93172,                 1.2204,             0.00077401,             0.00077401,             0.00077401
                     18,                  1.044,                 1.0027,                 1.2151,                 0.8077,                0.73445,                 0.8102,                0.56682,                 1.0098,                0.88021,                 1.1819,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.0162,                0.94762,                 1.1932,                0.81616,                0.72132,                0.80694,                0.56522,                 1.0291,                0.87329,                 1.2047,             0.00075602,             0.00075602,             0.00075602
                     20,                0.99509,                0.93093,                 1.1841,                0.82215,                0.73644,                  0.815,                0.57764,                 1.0188,                0.86016,                  1.169,             0.00074702,             0.00074702,             0.00074702
                     21,                0.99582,                0.91811,                 1.1852,                0.81318,                0.76326,                0.82124,                0.59218,                 0.9904,                0.82686,                 1.1866,             0.00073802,             0.00073802,             0.00073802
                     22,                0.99901,                0.92262,                 1.1806,                0.81345,                0.72876,                0.81193,                0.58117,                 1.0034,                 0.8398,                 1.1921,             0.00072902,             0.00072902,             0.00072902
                     23,                0.97891,                0.88938,                 1.1714,                0.79279,                0.74656,                0.80356,                0.57753,                0.97589,                0.86101,                 1.1691,             0.00072002,             0.00072002,             0.00072002
                     24,                0.98214,                0.89327,                 1.1737,                0.81731,                  0.729,                0.80579,                0.58436,                 0.9696,                0.86318,                 1.1627,             0.00071102,             0.00071102,             0.00071102
                     25,                0.95655,                0.87889,                 1.1611,                0.83088,                0.72815,                0.82128,                0.59757,                0.97885,                0.80126,                 1.1786,             0.00070202,             0.00070202,             0.00070202
                     26,                 0.9436,                0.85534,                 1.1587,                 0.7991,                0.80072,                0.83581,                0.60399,                 0.9598,                0.78915,                 1.1626,             0.00069302,             0.00069302,             0.00069302
                     27,                0.93884,                0.85336,                 1.1485,                0.81715,                0.75516,                0.82636,                0.59996,                0.95947,                0.79672,                 1.1564,             0.00068402,             0.00068402,             0.00068402
                     28,                 0.9187,                 0.8197,                 1.1317,                0.82248,                0.80012,                0.84788,                0.62466,                0.93362,                0.76004,                 1.1503,             0.00067502,             0.00067502,             0.00067502
                     29,                0.92388,                0.82155,                 1.1385,                0.81429,                0.78182,                0.82935,                 0.6032,                0.95638,                0.77996,                 1.1625,             0.00066602,             0.00066602,             0.00066602
                     30,                0.90183,                0.80817,                 1.1275,                0.81603,                0.79595,                0.83759,                0.61016,                0.95584,                0.76544,                 1.1641,             0.00065703,             0.00065703,             0.00065703
                     31,                0.89365,                0.78524,                 1.1142,                0.78999,                0.79263,                0.84301,                 0.6175,                0.93124,                0.75371,                 1.1439,             0.00064803,             0.00064803,             0.00064803
                     32,                0.89299,                0.79608,                 1.1212,                0.85343,                0.74718,                 0.8393,                0.61701,                 0.9312,                0.75478,                 1.1445,             0.00063903,             0.00063903,             0.00063903
                     33,                0.88155,                0.77137,                 1.1138,                0.81591,                0.78651,                0.83088,                0.61831,                0.91691,                0.75181,                 1.1408,             0.00063003,             0.00063003,             0.00063003
                     34,                0.87302,                0.76134,                 1.1055,                 0.8308,                0.78371,                0.83979,                 0.6232,                0.91884,                0.74119,                 1.1429,             0.00062103,             0.00062103,             0.00062103
                     35,                0.85341,                0.74198,                 1.0941,                0.80084,                0.82017,                0.84878,                0.63805,                0.90187,                 0.7195,                 1.1296,             0.00061203,             0.00061203,             0.00061203
                     36,                0.86317,                0.74465,                 1.1004,                0.82048,                0.79219,                0.84366,                 0.6302,                0.90052,                0.73162,                 1.1315,             0.00060303,             0.00060303,             0.00060303
                     37,                0.85143,                0.73027,                 1.0967,                0.81164,                0.80678,                0.84264,                0.63407,                0.89859,                0.72749,                 1.1308,             0.00059403,             0.00059403,             0.00059403
                     38,                0.84473,                0.72306,                 1.0926,                0.82602,                0.80122,                0.84421,                 0.6332,                0.89267,                0.72125,                 1.1152,             0.00058503,             0.00058503,             0.00058503
                     39,                0.82664,                0.70287,                 1.0805,                0.84917,                0.80259,                0.85352,                0.63934,                0.89652,                0.69659,                 1.1233,             0.00057603,             0.00057603,             0.00057603
                     40,                0.82908,                0.69998,                 1.0812,                0.85963,                0.78564,                0.84866,                0.63559,                0.91784,                 0.7168,                 1.1428,             0.00056703,             0.00056703,             0.00056703
                     41,                0.83058,                0.69681,                 1.0811,                0.82688,                0.79616,                 0.8458,                0.63451,                0.91906,                0.73401,                 1.1396,             0.00055804,             0.00055804,             0.00055804
                     42,                0.81959,                0.68603,                 1.0776,                0.80845,                0.82222,                0.84828,                 0.6412,                0.89125,                0.71732,                 1.1284,             0.00054904,             0.00054904,             0.00054904
                     43,                0.80259,                0.66843,                 1.0682,                0.82304,                 0.8094,                0.85257,                0.64643,                0.87366,                0.69983,                 1.1144,             0.00054004,             0.00054004,             0.00054004
                     44,                0.80578,                0.67057,                  1.066,                0.85116,                0.79374,                0.85775,                0.65244,                0.87807,                0.68984,                  1.125,             0.00053104,             0.00053104,             0.00053104
                     45,                0.80331,                0.66866,                 1.0671,                0.83671,                0.81069,                0.85134,                0.64473,                0.88376,                0.70217,                 1.1231,             0.00052204,             0.00052204,             0.00052204
                     46,                0.78319,                 0.6535,                 1.0592,                0.86104,                0.81063,                 0.8515,                0.64902,                0.87527,                 0.6884,                 1.1111,             0.00051304,             0.00051304,             0.00051304
