                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4618,                 1.9618,                 1.4627,                0.41867,                  0.499,                0.37522,                0.20932,                 1.5359,                 3.1989,                 1.5903,             0.00030198,             0.00030198,             0.00030198
                      2,                 1.5528,                 1.8426,                 1.5426,                0.44372,                0.47226,                0.44774,                0.24303,                 1.5381,                 2.0108,                 1.5187,             0.00059899,             0.00059899,             0.00059899
                      3,                 1.5313,                 1.8069,                 1.5359,                0.61869,                0.53894,                0.55548,                0.33373,                 1.4103,                 1.6118,                 1.4535,                0.00089,                0.00089,                0.00089
                      4,                 1.4575,                 1.6637,                 1.4878,                0.61111,                0.58059,                0.60211,                0.36613,                 1.3798,                 1.5235,                  1.448,               0.000882,               0.000882,               0.000882
                      5,                 1.3835,                 1.5589,                   1.44,                0.62913,                0.64821,                0.64963,                0.40005,                 1.3068,                 1.3461,                  1.371,               0.000882,               0.000882,               0.000882
                      6,                 1.3456,                 1.4541,                  1.413,                0.68899,                 0.6317,                0.66195,                0.41766,                 1.2282,                 1.2261,                 1.3388,               0.000873,               0.000873,               0.000873
                      7,                 1.2772,                 1.3675,                 1.3737,                0.69378,                0.67285,                0.70441,                0.45439,                 1.1595,                 1.1568,                 1.2775,               0.000864,               0.000864,               0.000864
                      8,                 1.2454,                 1.3098,                 1.3426,                0.72966,                0.67184,                0.73301,                0.48583,                 1.1608,                 1.0914,                 1.2976,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.2261,                 1.2765,                  1.331,                0.72704,                0.67412,                0.73099,                0.48704,                 1.1455,                 1.0633,                 1.2663,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1859,                 1.2288,                 1.3079,                0.74562,                 0.6561,                0.75129,                0.49864,                 1.1217,                 1.0738,                  1.271,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.1561,                 1.1799,                 1.2866,                0.77338,                0.65794,                0.75728,                0.51508,                  1.102,                 1.0284,                 1.2512,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1377,                 1.1341,                 1.2689,                0.77037,                0.67868,                0.76538,                0.52957,                 1.0841,                 1.0174,                 1.2284,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1162,                 1.0915,                  1.259,                0.82411,                0.68999,                0.77978,                0.54453,                 1.0519,                0.93223,                 1.2131,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.0898,                 1.0613,                 1.2436,                0.74687,                0.73507,                0.77504,                0.54045,                 1.0229,                0.95595,                 1.1883,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.0728,                 1.0397,                 1.2319,                0.75874,                0.72443,                0.77676,                0.54677,                 1.0385,                0.92141,                 1.2023,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0632,                 1.0222,                 1.2283,                0.81452,                0.70654,                0.80013,                0.55945,                  1.022,                0.90278,                 1.2025,             0.00078301,             0.00078301,             0.00078301
                     17,                  1.048,                 1.0005,                 1.2215,                0.77612,                0.73177,                0.78949,                0.55114,                 1.0357,                 0.9235,                 1.1982,             0.00077401,             0.00077401,             0.00077401
