                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4488,                 1.9699,                  1.475,                0.47267,                0.48063,                 0.4136,                 0.2313,                 1.6294,                 2.8089,                 1.6785,             0.00030181,             0.00030181,             0.00030181
                      2,                 1.5932,                 1.9161,                 1.5978,                0.53207,                0.51235,                0.50327,                 0.2804,                 1.6161,                 2.2869,                  1.622,             0.00059882,             0.00059882,             0.00059882
                      3,                 1.5637,                 1.8616,                 1.5814,                  0.523,                0.53259,                0.51107,                0.26735,                 1.6062,                 2.0963,                 1.5416,             0.00088984,             0.00088984,             0.00088984
                      4,                 1.4955,                 1.7662,                 1.5416,                0.55489,                 0.5853,                 0.6024,                0.35472,                 1.4235,                 1.6304,                 1.4341,               0.000882,               0.000882,               0.000882
                      5,                 1.4245,                 1.6398,                 1.4877,                0.68056,                0.65562,                0.66645,                0.41164,                 1.3254,                 1.4018,                 1.3771,               0.000882,               0.000882,               0.000882
                      6,                 1.3606,                  1.512,                 1.4364,                0.66223,                0.70498,                0.72756,                0.46703,                 1.2545,                 1.3123,                 1.3279,               0.000873,               0.000873,               0.000873
                      7,                  1.307,                 1.4235,                 1.4084,                  0.738,                0.67987,                0.74835,                0.48725,                 1.2025,                 1.2158,                 1.2873,               0.000864,               0.000864,               0.000864
                      8,                  1.251,                 1.3384,                 1.3702,                0.74232,                0.67712,                0.74459,                 0.4917,                 1.1956,                  1.166,                 1.2881,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.2149,                 1.2786,                 1.3397,                0.75577,                0.71357,                0.77654,                0.51846,                 1.1614,                 1.1356,                 1.2511,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1988,                 1.2538,                 1.3367,                0.79464,                 0.7178,                0.79394,                 0.5309,                 1.1767,                 1.0773,                   1.27,             0.00083701,             0.00083701,             0.00083701
                     11,                  1.173,                 1.2182,                 1.3167,                0.80681,                0.75007,                0.80754,                0.55601,                 1.1046,                 1.0371,                 1.2261,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1393,                 1.1542,                 1.2945,                 0.7812,                0.75422,                0.80295,                0.55445,                  1.091,                 1.0417,                 1.2167,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1333,                 1.1513,                  1.286,                0.82104,                0.73472,                0.80236,                0.56276,                 1.1022,                 1.0268,                 1.2268,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.1024,                 1.1042,                 1.2685,                0.82011,                0.77405,                0.83291,                0.59265,                 1.0501,                0.92174,                 1.1822,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.1023,                 1.0937,                 1.2696,                 0.8178,                0.76921,                0.83792,                 0.5813,                 1.0628,                 0.9321,                 1.1876,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0734,                 1.0418,                 1.2501,                0.84652,                0.78024,                0.84809,                 0.5917,                 1.0471,                0.88066,                 1.1779,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.0571,                 1.0224,                  1.237,                 0.7761,                0.79158,                0.82832,                0.59208,                 1.0259,                0.95425,                 1.1806,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.0405,                0.99937,                 1.2283,                0.84106,                 0.7945,                0.85131,                0.61954,                0.99937,                0.83832,                 1.1641,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.0288,                0.98904,                 1.2181,                0.85956,                0.79683,                 0.8569,                0.61279,                 1.0144,                0.87997,                   1.17,             0.00075602,             0.00075602,             0.00075602
