                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4463,                 1.9556,                 1.4723,                0.43193,                0.46529,                0.37858,                0.21819,                 1.5821,                 2.8091,                 1.5941,             0.00030198,             0.00030198,             0.00030198
                      2,                 1.5673,                 1.8985,                  1.579,                0.38499,                0.48979,                0.36448,                0.20145,                 1.5679,                 2.8463,                 1.5671,             0.00059899,             0.00059899,             0.00059899
                      3,                 1.5488,                 1.8548,                  1.571,                0.62593,                0.57608,                0.59368,                0.33887,                 1.4855,                 1.6629,                 1.4893,             0.00089001,             0.00089001,             0.00089001
                      4,                 1.4569,                 1.6923,                 1.5004,                0.63649,                0.59956,                0.63332,                0.38782,                 1.3645,                 1.6219,                 1.4105,               0.000882,               0.000882,               0.000882
                      5,                 1.3842,                 1.5856,                 1.4576,                0.69707,                0.61738,                0.66824,                0.42368,                 1.3186,                 1.3784,                 1.3724,               0.000882,               0.000882,               0.000882
                      6,                  1.326,                 1.4746,                 1.4107,                0.68568,                0.65484,                0.69674,                0.43992,                 1.2724,                 1.3559,                  1.321,               0.000873,               0.000873,               0.000873
                      7,                 1.2689,                 1.3727,                 1.3705,                0.75923,                0.70834,                0.75818,                0.49101,                 1.2364,                 1.1515,                 1.3028,               0.000864,               0.000864,               0.000864
                      8,                 1.2561,                 1.3638,                 1.3686,                0.79212,                 0.6846,                0.75541,                0.50354,                 1.1594,                 1.1521,                 1.2564,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.2004,                  1.278,                   1.33,                0.72969,                0.74347,                 0.7813,                  0.521,                 1.1623,                  1.098,                 1.2698,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1759,                 1.2339,                 1.3145,                0.78801,                0.74889,                0.79107,                0.53731,                 1.1285,                 1.0587,                  1.225,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.1499,                 1.1961,                  1.296,                  0.837,                0.76038,                 0.8176,                0.57584,                 1.0915,                 1.0011,                 1.2039,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1397,                 1.1536,                 1.2851,                0.80448,                0.76844,                0.82782,                0.57716,                 1.0937,                0.96234,                 1.2181,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1127,                 1.1169,                 1.2748,                0.84505,                  0.775,                0.83545,                0.59057,                 1.0722,                0.91079,                 1.1948,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.0955,                 1.0918,                 1.2588,                0.81344,                0.79265,                0.84104,                0.60292,                 1.0371,                0.89717,                 1.1846,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.0626,                 1.0526,                 1.2344,                0.81848,                0.79595,                0.83553,                0.59633,                 1.0548,                0.89448,                  1.185,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0539,                 1.0311,                 1.2278,                0.83908,                0.79692,                0.85438,                0.61974,                0.99282,                0.85644,                 1.1501,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.0496,                 1.0205,                 1.2267,                0.83686,                0.77807,                0.83669,                0.61463,                 1.0088,                0.87788,                  1.167,             0.00077401,             0.00077401,             0.00077401
                     18,                  1.042,                0.99796,                 1.2233,                0.84709,                0.77463,                0.84787,                0.61442,                 1.0095,                 0.8795,                 1.1628,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.0308,                 1.0024,                 1.2125,                0.83906,                0.78224,                0.85535,                0.61468,                 1.0013,                0.83441,                 1.1603,             0.00075602,             0.00075602,             0.00075602
                     20,                  1.009,                0.95784,                 1.1991,                0.85577,                0.79062,                0.86474,                0.63201,                0.99255,                0.82135,                  1.144,             0.00074702,             0.00074702,             0.00074702
                     21,                 0.9934,                0.94609,                 1.1926,                0.84752,                0.79615,                 0.8671,                0.62565,                0.99297,                0.80558,                 1.1472,             0.00073802,             0.00073802,             0.00073802
                     22,                0.97536,                0.91885,                 1.1834,                0.86516,                0.81808,                0.87604,                0.64242,                0.95799,                0.78403,                 1.1346,             0.00072902,             0.00072902,             0.00072902
                     23,                0.97242,                0.91223,                 1.1842,                0.82668,                0.80418,                0.86718,                0.63768,                0.97148,                0.79943,                 1.1403,             0.00072002,             0.00072002,             0.00072002
                     24,                0.95265,                0.88585,                   1.17,                0.87087,                0.80871,                0.87615,                0.65183,                0.94859,                0.74153,                 1.1296,             0.00071102,             0.00071102,             0.00071102
                     25,                 0.9431,                0.86203,                 1.1589,                 0.8444,                0.83081,                0.87522,                0.64576,                0.95175,                0.78017,                 1.1407,             0.00070202,             0.00070202,             0.00070202
                     26,                0.93447,                0.85377,                 1.1571,                 0.8678,                0.82856,                0.87768,                0.65613,                0.92331,                0.73228,                 1.1256,             0.00069302,             0.00069302,             0.00069302
                     27,                0.92861,                0.84153,                 1.1566,                0.85688,                0.81986,                0.87596,                0.65276,                0.92921,                 0.7543,                 1.1206,             0.00068402,             0.00068402,             0.00068402
                     28,                0.91772,                0.83449,                 1.1467,                0.87554,                0.81215,                0.86905,                0.64839,                0.94365,                0.77106,                 1.1305,             0.00067502,             0.00067502,             0.00067502
                     29,                  0.906,                0.80786,                 1.1445,                0.86376,                 0.8441,                0.87635,                0.65994,                0.92064,                0.73128,                 1.1308,             0.00066602,             0.00066602,             0.00066602
                     30,                0.89836,                0.80934,                 1.1368,                0.88218,                0.82038,                0.88555,                0.67093,                0.90186,                0.71805,                 1.1142,             0.00065703,             0.00065703,             0.00065703
                     31,                0.89545,                0.79725,                 1.1347,                0.87028,                0.82695,                0.87048,                0.66205,                 0.8906,                0.74564,                 1.1086,             0.00064803,             0.00064803,             0.00064803
                     32,                0.88141,                0.77708,                 1.1231,                0.88166,                0.79099,                0.87149,                0.65443,                0.93062,                0.75266,                 1.1335,             0.00063903,             0.00063903,             0.00063903
                     33,                0.87654,                0.76249,                 1.1216,                0.87851,                0.83265,                 0.8847,                0.66836,                0.91036,                0.70201,                 1.1189,             0.00063003,             0.00063003,             0.00063003
                     34,                0.86807,                0.76028,                 1.1135,                0.87695,                0.82259,                0.87254,                0.66183,                0.91612,                0.72171,                 1.1184,             0.00062103,             0.00062103,             0.00062103
                     35,                0.85653,                0.75091,                 1.1103,                0.84683,                0.83985,                 0.8759,                 0.6711,                0.88904,                0.69041,                 1.1132,             0.00061203,             0.00061203,             0.00061203
                     36,                0.85102,                0.74432,                 1.1103,                0.86745,                0.83287,                 0.8828,                0.67821,                0.87515,                0.69269,                 1.1094,             0.00060303,             0.00060303,             0.00060303
                     37,                0.84115,                0.71733,                 1.1015,                0.86097,                0.84105,                0.88198,                0.67731,                0.87822,                0.68145,                 1.1083,             0.00059403,             0.00059403,             0.00059403
                     38,                0.83579,                0.72454,                 1.1055,                0.87107,                 0.8509,                 0.8894,                0.68237,                0.85762,                0.68075,                  1.095,             0.00058503,             0.00058503,             0.00058503
                     39,                0.83452,                0.70005,                   1.09,                0.87479,                0.83956,                0.89156,                0.68398,                0.88367,                0.68664,                  1.106,             0.00057603,             0.00057603,             0.00057603
                     40,                0.82884,                0.71224,                 1.0943,                0.84982,                 0.8327,                0.87939,                0.66685,                0.90075,                0.72332,                 1.1196,             0.00056703,             0.00056703,             0.00056703
                     41,                0.80878,                0.68691,                 1.0849,                0.86912,                0.83888,                0.88873,                0.68219,                0.87488,                0.67135,                  1.121,             0.00055804,             0.00055804,             0.00055804
                     42,                0.81733,                0.69678,                 1.0885,                0.86131,                0.84154,                0.88746,                0.69153,                0.84936,                 0.6699,                 1.0952,             0.00054904,             0.00054904,             0.00054904
                     43,                0.80834,                0.67818,                 1.0866,                0.86873,                0.84225,                0.88532,                0.68422,                0.87759,                0.67101,                 1.1219,             0.00054004,             0.00054004,             0.00054004
                     44,                0.79956,                0.67485,                 1.0769,                0.87342,                0.83267,                0.88835,                0.68892,                 0.8482,                 0.6585,                 1.0945,             0.00053104,             0.00053104,             0.00053104
                     45,                0.79418,                0.66259,                 1.0726,                0.87137,                0.84756,                0.88416,                0.68297,                0.87443,                0.66431,                 1.1084,             0.00052204,             0.00052204,             0.00052204
                     46,                0.78998,                0.65152,                 1.0739,                0.86788,                0.85356,                0.87813,                 0.6818,                0.88496,                0.69312,                 1.1119,             0.00051304,             0.00051304,             0.00051304
                     47,                0.77897,                0.64254,                 1.0689,                0.89394,                0.82881,                0.89095,                0.69121,                0.84539,                0.65467,                 1.0965,             0.00050404,             0.00050404,             0.00050404
                     48,                0.77093,                0.64035,                 1.0603,                0.87283,                0.84777,                0.88913,                0.69832,                0.84914,                0.66482,                 1.1005,             0.00049504,             0.00049504,             0.00049504
                     49,                0.76495,                0.62732,                 1.0602,                0.86476,                0.85873,                0.88992,                0.68916,                0.86004,                0.66452,                 1.0966,             0.00048604,             0.00048604,             0.00048604
                     50,                0.75405,                0.61729,                 1.0532,                0.90329,                0.83297,                0.89197,                 0.6984,                0.83926,                 0.6478,                 1.0774,             0.00047704,             0.00047704,             0.00047704
                     51,                0.75533,                0.61552,                 1.0533,                0.87275,                0.84531,                 0.8847,                0.69011,                0.86694,                0.66546,                 1.1009,             0.00046804,             0.00046804,             0.00046804
                     52,                0.74304,                0.60254,                 1.0464,                0.89577,                0.84826,                0.88243,                0.69363,                  0.842,                0.65981,                 1.0853,             0.00045904,             0.00045904,             0.00045904
                     53,                0.74028,                0.60401,                 1.0437,                0.88662,                0.84482,                0.89134,                 0.7004,                 0.8277,                0.63529,                 1.0817,             0.00045005,             0.00045005,             0.00045005
                     54,                0.73568,                0.59763,                   1.04,                0.88927,                0.85379,                0.89683,                 0.7039,                0.83861,                0.65966,                 1.1016,             0.00044105,             0.00044105,             0.00044105
                     55,                0.73394,                0.59113,                 1.0433,                0.88199,                0.84819,                0.89458,                0.70631,                 0.8286,                0.63267,                 1.0852,             0.00043205,             0.00043205,             0.00043205
                     56,                0.72926,                0.58059,                 1.0396,                0.88354,                0.85715,                0.89802,                0.70913,                0.81321,                0.63895,                 1.0777,             0.00042305,             0.00042305,             0.00042305
                     57,                0.73145,                0.57943,                 1.0411,                0.88056,                0.86537,                0.89624,                0.71056,                0.81393,                0.62209,                 1.0858,             0.00041405,             0.00041405,             0.00041405
                     58,                0.71613,                0.56682,                 1.0327,                0.88205,                0.85292,                0.89892,                0.71029,                0.83492,                0.63685,                 1.0982,             0.00040505,             0.00040505,             0.00040505
                     59,                0.70716,                0.56175,                 1.0292,                0.88724,                0.85738,                0.89726,                0.71204,                0.82085,                0.62264,                  1.092,             0.00039605,             0.00039605,             0.00039605
                     60,                0.69837,                0.55733,                 1.0215,                0.88687,                0.85651,                0.89867,                 0.7128,                0.81776,                0.63094,                 1.0895,             0.00038705,             0.00038705,             0.00038705
                     61,                0.70297,                0.56059,                  1.028,                0.87941,                0.86733,                0.89993,                 0.7125,                0.82117,                0.62299,                 1.1022,             0.00037805,             0.00037805,             0.00037805
                     62,                0.69351,                0.54682,                 1.0253,                0.87465,                0.86778,                0.89831,                0.71285,                0.81355,                0.62315,                 1.0944,             0.00036905,             0.00036905,             0.00036905
                     63,                0.68328,                 0.5457,                  1.014,                0.88609,                0.85266,                0.90311,                0.71796,                0.81009,                0.61142,                 1.0875,             0.00036005,             0.00036005,             0.00036005
                     64,                0.68848,                  0.541,                 1.0216,                0.88483,                0.85426,                0.89622,                0.71592,                0.79975,                 0.6162,                 1.0812,             0.00035106,             0.00035106,             0.00035106
                     65,                  0.684,                0.53898,                 1.0195,                0.87502,                0.85549,                0.89394,                0.71091,                0.81055,                0.63088,                 1.0968,             0.00034206,             0.00034206,             0.00034206
                     66,                0.67516,                0.52988,                 1.0141,                0.88046,                0.85837,                0.89601,                0.71192,                0.80763,                0.62686,                 1.0796,             0.00033306,             0.00033306,             0.00033306
                     67,                0.66363,                0.51397,                 1.0045,                 0.8906,                0.84632,                0.89976,                0.72126,                0.79926,                0.61549,                 1.0782,             0.00032406,             0.00032406,             0.00032406
                     68,                 0.6613,                0.51377,                 1.0076,                0.88565,                0.86044,                0.90004,                0.72159,                0.79917,                0.61862,                 1.0761,             0.00031506,             0.00031506,             0.00031506
                     69,                0.65729,                0.50663,                  1.001,                0.88003,                0.87363,                0.89805,                0.71568,                0.81658,                0.62952,                 1.1059,             0.00030606,             0.00030606,             0.00030606
                     70,                0.65589,                0.50385,                  1.001,                0.89933,                0.85004,                0.89705,                0.71725,                0.81081,                0.62834,                 1.0925,             0.00029706,             0.00029706,             0.00029706
                     71,                0.64953,                 0.5058,                0.99797,                0.89253,                0.86434,                0.89724,                0.72108,                0.80219,                0.61174,                 1.0956,             0.00028806,             0.00028806,             0.00028806
                     72,                0.64561,                0.49591,                 1.0004,                0.88229,                0.86172,                0.89283,                0.71733,                 0.8041,                0.62496,                 1.0981,             0.00027906,             0.00027906,             0.00027906
                     73,                0.63303,                0.48345,                 0.9899,                0.87316,                0.87393,                0.89672,                0.71961,                0.79747,                0.61727,                 1.0883,             0.00027006,             0.00027006,             0.00027006
                     74,                 0.6279,                 0.4825,                0.98963,                0.88346,                 0.8554,                0.89299,                0.72021,                0.79427,                0.60903,                 1.0885,             0.00026106,             0.00026106,             0.00026106
                     75,                0.62355,                 0.4765,                0.98722,                0.88165,                0.84979,                0.89195,                0.71593,                0.79833,                0.61866,                 1.0965,             0.00025207,             0.00025207,             0.00025207
                     76,                0.62307,                0.48053,                0.98783,                0.88289,                0.85365,                0.89929,                0.72124,                0.79933,                0.61552,                 1.1005,             0.00024307,             0.00024307,             0.00024307
                     77,                 0.6211,                0.47347,                0.98552,                0.88908,                0.86387,                0.90157,                0.72521,                0.78416,                0.61253,                 1.0813,             0.00023407,             0.00023407,             0.00023407
                     78,                0.61387,                0.47277,                0.98545,                0.89405,                 0.8497,                0.89874,                0.72453,                0.78989,                0.60651,                 1.0912,             0.00022507,             0.00022507,             0.00022507
                     79,                0.60875,                0.46448,                0.97923,                0.87747,                0.86934,                0.89188,                0.72319,                0.78471,                0.61058,                 1.0837,             0.00021607,             0.00021607,             0.00021607
                     80,                0.60902,                0.46185,                0.98379,                0.89522,                0.85348,                0.89106,                0.72013,                0.78941,                0.60755,                 1.0938,             0.00020707,             0.00020707,             0.00020707
                     81,                0.60328,                0.46327,                0.97634,                 0.8945,                0.85275,                0.89159,                0.71862,                0.79285,                0.60335,                 1.0944,             0.00019807,             0.00019807,             0.00019807
                     82,                0.59836,                0.45375,                0.97322,                0.88636,                0.86008,                0.89624,                0.72413,                0.78412,                0.59144,                 1.0889,             0.00018907,             0.00018907,             0.00018907
                     83,                 0.5933,                0.44178,                0.97221,                0.89025,                0.85172,                0.89645,                0.72489,                0.79456,                0.59906,                 1.0946,             0.00018007,             0.00018007,             0.00018007
                     84,                0.59025,                0.44404,                0.97355,                0.89887,                0.85111,                0.90034,                0.72729,                0.79175,                0.58055,                  1.093,             0.00017107,             0.00017107,             0.00017107
                     85,                0.58081,                0.43825,                0.96617,                0.89065,                0.86202,                0.89762,                0.73013,                0.78293,                0.58776,                 1.0868,             0.00016207,             0.00016207,             0.00016207
                     86,                0.58086,                0.44066,                0.96521,                0.88145,                0.86588,                0.89621,                0.72971,                0.77651,                0.59788,                 1.0855,             0.00015308,             0.00015308,             0.00015308
                     87,                0.57487,                0.43904,                0.96682,                0.88661,                0.86756,                0.89998,                0.73154,                0.78509,                0.60643,                  1.093,             0.00014408,             0.00014408,             0.00014408
                     88,                0.56763,                0.43037,                0.95881,                0.88739,                0.86841,                0.89917,                 0.7311,                0.78486,                0.60226,                 1.0975,             0.00013508,             0.00013508,             0.00013508
                     89,                0.56673,                0.42535,                0.95955,                0.88988,                0.85981,                0.89972,                0.73187,                0.78726,                0.60697,                 1.0961,             0.00012608,             0.00012608,             0.00012608
                     90,                0.56513,                0.42419,                 0.9576,                0.88227,                0.86778,                0.90281,                0.73088,                0.78346,                 0.6002,                 1.0906,             0.00011708,             0.00011708,             0.00011708
                     91,                0.50413,                0.32664,                0.91668,                0.88612,                0.87519,                0.89973,                0.72693,                0.78413,                0.60287,                 1.1026,             0.00010808,             0.00010808,             0.00010808
                     92,                0.48912,                0.31501,                 0.9108,                 0.8815,                 0.8677,                0.90085,                0.72826,                0.78451,                0.59714,                 1.1058,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.48557,                0.30939,                0.90984,                0.86532,                0.87947,                0.89767,                0.72912,                0.77896,                0.59515,                 1.1018,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.47792,                 0.3031,                 0.9024,                0.87567,                0.87365,                0.89847,                0.72887,                0.78105,                0.60513,                  1.101,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.46869,                0.29786,                0.89971,                 0.8901,                0.86435,                0.89995,                0.73045,                0.78427,                0.60062,                 1.1073,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.46815,                0.29948,                0.90262,                0.88927,                0.87433,                0.89858,                0.72732,                0.78651,                0.59926,                  1.106,             6.3085e-05,             6.3085e-05,             6.3085e-05
